iter	Passed	Remaining
0	151	151044
1	163	81535
2	166	55460
3	174	43337
4	179	35653
5	188	31226
6	193	27483
7	200	24865
8	210	23160
9	216	21397
10	222	20026
11	227	18745
12	238	18086
13	245	17322
14	255	16789
15	262	16145
16	269	15600
17	276	15102
18	285	14733
19	292	14339
20	295	13779
21	302	13462
22	306	12998
23	310	12629
24	319	12449
25	325	12201
26	332	11981
27	340	11821
28	347	11635
29	355	11484
30	362	11346
31	368	11153
32	376	11041
33	380	10800
34	386	10657
35	393	10526
36	399	10394
37	403	10218
38	408	10071
39	414	9959
40	421	9848
41	425	9699
42	434	9672
43	439	9545
44	446	9480
45	453	9408
46	459	9325
47	465	9233
48	469	9116
49	478	9096
50	488	9088
51	494	9007
52	498	8907
53	506	8866
54	510	8771
55	515	8692
56	528	8741
57	533	8665
58	539	8598
59	542	8504
60	548	8442
61	557	8437
662	581	8646
63	585	8564
64	590	8500
65	597	8449
66	604	8412
67	611	8380
68	621	8385
69	629	8366
70	635	8317
71	646	8327
72	654	8316
73	660	8264
74	667	8229
75	672	8172776	677	8125777	685	8097778	692	8073
79	696	8008880	700	794981	696	7801
82	703	7773
83	718	7832
84	724	7799
85	730	7759
86	736	7728
87	741	7681
88	746	7636
89	752	7605
90	757	7567
91	764	7548
92	773	7539
93	777	7493
94	781	7446
95	792	7461
96	798	7434
97	804	7401
98	809	7365
99	816	7344
100	821	7309
101	824	7259
102	827	7209
103	831	7160
104	837	7137
105	841	7097
106	846	7067
107	850	7025
1108	867	70931109	873	70671110	880	70551111	887	70351112	898	7052
113	905	7037
114	910	7010
115	917	6988
116	928	7003
117	931	6966
118	936	69341119	942	69101120	948	68931121	954	6871122	950	6779
123	957	6761
124	963	6746
125	970	6733
1126	987	67861127	994	67721128	1001	67612129	1009	67130130	1017	6749
131	1023	6132	132	1031	6721
133	1039	6717
134	1043	6688
135	1049	6668
136	1054	6643
137	1062	6637
138	1072	6641
139	1076	6610
140	1080	6585
141	1090	6588
142	1100	6593
143	1105	6144	144	1115	6575
145	1119	6146	146	1128	6548
147	1136	6543
148	1145	6539
149	1148	6150	150	1154	6151	151	1161	6152	152	1164	6153	153	1169	6154	154	1181	6442
155	1186	6156	1181	6345
157	157	1199	6158	1195	6321
159	159	1213	6160	1209	6304
161	161	1227	6162	162	1236	6348
163	1243	6338
164	1248	6317
165	1256	6311
166	1263	6301
167	1268	6280
168	1273	6263
169	1281	6257
170	1290	6256
171	1297	6244
172	1302	6227
173	1308	6212
174	1317	6210
175	1322	6193
176	1330	6184
177	1337	6178	178	1344	6179	179	1349	6180	180	1354	6129
181	1361	6120
182	1368	6111
183	1376	6103
184	1382	6091
185	1390	6084
186	1398	6079
187	1402	6058
188	1415	6075
189	1422	6062
190	1425	6038
191	1432	6027
192	1438	6014
193	1444	6001
194	1451	5991
195	1459	5985
196	1465	5975
197	1477	5985
198	1482	5968
199	1489	5957
200	1494	5942
201	1498	5918
202	1503	5903
203	1509	5888
204	1513	5868
205	1518	5854
206	1524	5840
207	1533	5837
208	1540	5831
209	1545	5815
210	1551	5799
211	1559	5797
212	1567	5792
213	1573	5780
214	1578	5763
215	1585	5754
216	1588	5733
217	1592	5712
218	1597	5698
219	1605	5691
220	1612	5683
221	1619	5674
222	1627	5671
223	1631	5651
224	1637	5640
225	1642	5624
226	1647	5610
227	1655	5605
228	1662	5596
229	1667	5581
230	1672	5566
231	1679	5558
232	1682	5539
233	1688	5528
234	1695	5519
235	1700	5505
236	1705	5491
237	1713	5485
238	1720	5478
239	1725	5463
240	1733	5459
241	1737	5443
242	1746	5439
243	1753	5434
244	1762	5430
245	1767	5418
246	1772	5403
247	1777	5389
248	1781	5373
249	1788	5364
250	1794	5354
251	1802	5350
252	1811	5347
253	1815	5333
254	1822	5325
255	1830	5321
256	1834	5304
257	1841	5296
258	1847	5285
259	1853	5276
260	1863	5276
261	1871	5270
262	1876	5259
263	1879	5241
264	1886	5232
265	1893	5226
266	1899	5215
267	1905	5205
268	1911	5194
269	1916	5182
270	1923	5173
271	1930	5165
272	1938	5161
273	1945	5154
274	1949	5139
275	1957	5135
276	1965	5130
277	1970	5116
278	1977	5109
279	1981	5094
280	1988	5086
281	1993	5076
282	1999	5065
283	2008	5062
284	2011	5047
285	2017	5037
286	2023	5027
287	2030	5019
288	2036	5011
289	2042	5001
290	2046	4986
291	2050	4971
292	2058	4965
293	2063	4954
294	2067	4941
295	2075	4935
296	2080	4924
297	2086	4914
298	2092	4906
299	2099	4898
300	2107	4893
301	2117	4893
302	2122	4882
303	2127	4871
304	2135	4867
305	2146	4868
306	2152	4859
307	2158	4849
308	2164	4840
309	2171	4833
310	2177	4825
311	2183	4815
312	2189	4804
313	2194	4794
314	2203	4792
315	2211	4786
316	2216	4776
317	2221	4764
318	2226	4752
319	2235	4750
320	2246	4751
321	2253	4745
322	2265	4747
323	2273	4743
324	2279	4734
325	2286	4727
326	2291	4716
327	2304	4720
328	2310	4712
329	2316	4704
330	2322	4694
331	2329	4687
332	2338	4683
333	2343	4673
334	2349	4663
335	2355	4654
336	2359	4641
337	2363	4629
338	2368	4617
339	2373	4606
340	2380	4600
341	2386	4591
342	2393	4584
343	2399	4576
344	2405	4567
345	2413	4562
346	2420	4554
347	2423	4541
348	2431	4534
349	2434	4521
350	2441	4514
351	2450	4510
352	2453	4496
353	2460	4489
354	2465	4480
355	2470	4469
356	2474	4457
357	2478	4444
358	2484	4436
359	2487	4422
360	2495	4417
361	2499	4405
362	2505	4397
363	2509	4385
364	2515	4376
365	2520	4366
366	2529	4363
367	2535	4353
368	2538	4341
369	2544	4332
370	2551	4326
371	2558	4319
372	2564	4310
373	2571	4303
374	2578	4297
375	2585	4290
376	2589	4279
377	2598	4275
378	2606	4270
379	2610	4258
380	2616	4250
381	2625	4247
382	2632	4241
383	2640	4236
384	2644	4223
385	2650	4216
386	2658	4211
387	2665	4204
388	2671	4196
389	2679	4190
390	2687	4186
391	2693	4177
392	2698	4167
393	2704	4160
394	2709	4149
395	2715	4141
396	2719	4130
397	2729	4127
398	2734	4118
399	2738	4107
400	2748	4105
401	2753	4095
402	2756	4083
403	2761	4073
404	2767	4065
405	2771	4054
406	2776	4044
407	2782	4036
408	2785	4025
409	2790	4014
410	2797	4008
411	2803	4001
412	2810	3994
413	2815	3984
414	2824	3981
415	2828	3971
416	2836	3965
417	2843	3958
418	2848	3949
419	2853	3941
420	2860	3933
421	2866	3926
422	2874	3921
423	2878	3909
424	2885	3904
425	2888	3892
426	2894	3883
427	2901	3877
428	2906	3868
429	2912	3860
430	2919	3854
431	2926	3847
432	2934	3842
433	2940	3835
434	2949	3830
435	2954	3822
436	2960	3814
437	2963	3802
438	2970	3795
439	2979	3792
440	2984	3783
441	2989	3773
442	2994	3764
443	3000	3757
444	3006	3750
445	3010	3739
446	3018	3733
447	3022	3723
448	3026	3714
449	3031	3705
450	3036	3695
451	3043	3689
452	3046	3678
453	3054	3672
454	3060	3666
455	3065	3656
456	3069	3647
457	3074	3638
458	3082	3633
459	3087	3623
460	3095	3618
461	3103	3613
462	3106	3602
463	3111	3594
464	3118	3588
465	3122	3578
466	3131	3573
467	3138	3567
468	3147	3563
469	3153	3555
470	3156	3545
471	3165	3540
472	3170	3532
473	3177	3526
474	3183	3518
475	3191	3513
476	3198	3506
477	3210	3505
478	3214	3496
479	3219	3488
480	3223	3478
481	3230	3471
482	3235	3463
483	3244	3458
484	3249	3450
485	3256	3443
486	3263	3437
487	3268	3429
488	3277	3425
489	3282	3416
490	3287	3408
491	3293	3400
492	3300	3394
493	3310	3391
494	3314	3381
495	3324	3378
496	3330	3370
497	3336	3362
498	3346	3359
499	3351	3351
500	3356	3343
501	3361	3335
502	3367	3327
503	3377	3324
504	3390	3323
505	3394	3314
506	3400	3306
507	3403	3296
508	3411	3290
509	3418	3284
510	3426	3279
511	3431	3270
512	3435	3261
513	3438	3251
514	3447	3246
515	3452	3238
516	3456	3229
517	3461	3221
518	3467	3213
519	3472	3205
520	3476	3196
521	3481	3187
522	3486	3179
523	3494	3174
524	3503	3169
525	3509	3162
526	3514	3154
527	3520	3147
528	3525	3138
529	3533	3133
530	3537	3124
531	3544	3117
532	3552	3112
533	3559	3106
534	3564	3097
535	3569	3089
536	3573	3080
537	3579	3074
538	3584	3065
539	3588	3057
540	3599	3054
541	3605	3047
542	3611	3039
543	3615	3030
544	3622	3024
545	3630	3018
546	3637	3012
547	3642	3004
548	3646	2995
549	3650	2986
550	3657	2980
551	3664	2974
552	3672	2968
553	3683	2965
554	3690	2959
555	3702	2956
556	3708	2949
557	3713	2941
558	3718	2933
559	3727	2928
560	3735	2922
561	3741	2916
562	3745	2907
563	3753	2901
564	3758	2893
565	3764	2886
566	3768	2877
567	3774	2870
568	3779	2862
569	3784	2854
570	3788	2846
571	3792	2837
572	3801	2832
